word	homonym	type	gradation	type_note	grad_note
ilkiö		3			
ilkkua		52	A		
ilkosen		99			
ilkosillaan		99			
ilkosilleen		99			
illakko		4	A		
illallinen		38			
illalliskortti					
illalliskutsu					
illallispöytä					
illallistanssiaiset					
illallisvieras					
illanistujaiset					
illansuu					
illantorkku					
illanvietto					
illanvirkku					
illastaa		53			
illatiivi		5			
illatsut		2			
illemmaksi		99			
illemmalla		99			
illempana		99			
illusorinen		38			
illustraatio		3			
illustroida		62			
illuusio		3			
ilma		9			
ilma-alus					
ilmaannousu					
ilmaantua		52	J		
ilmaantuvuus		40			
ilma-ase					
ilma-aukko					
ilmaherruus					
ilmahoito					
ilmahuokonen					
ilmahyökkäys					
ilmahälytys					
ilmailla		67			
ilmailu		2			
ilmailukartta					
ilmailukerho					
ilmailulääketiede					
ilmainen		38			
ilmais-					
ilmaisanti		5	J		
ilmaiseksi		99			
ilmaisetu					
ilmaishoito					
ilmaisija		12			
ilmaisin		33			
ilmaisjakelu					
ilmaisjakelulehti					
ilmaiskappale					
ilmaisku					
ilmaislääke					
ilmaisosakeanti		5	J		
ilmaispalvelu					
ilmaista		66			
ilmaisu		2			
ilmaisukeino					
ilmaisukyky					
ilmaisukykyinen					
ilmaisuleikki					
ilmaisuliike					
ilmaisullinen		38			
ilmaisumuoto					
ilmaisupakko					
ilmaisutaito					
ilmaisutapa					
ilmaisutarve					
ilmaisuvala					
ilmaisuvoima					
ilmaisuvoimainen					
ilmaisuväline					
ilmajarru					
ilmajohto					
ilmajousi					
ilmajousitus					
ilmajuoppo					
ilmajuuri		26			
ilmajäähdytin					
ilmajäähdytteinen					
ilmajäähdytys					
ilmakaapeli					
ilmakartoitus					
ilmakehä					
ilmakerros					
ilmakiharrin					
ilmakirje					
ilmakivääri					
ilmakuiva					
ilmakuivata					
ilmakuivattaa					
ilmakuivatus					
ilmakuivaus					
ilmakuljetus					
ilmakuoppa					
ilmakupla					
ilmakuva					
ilmakuvakartoitus					
ilmakuvakartta					
ilmakuvata					
ilmakuvaus					
ilmakylpy					
ilmakäytävä					
ilmalaiva					
ilmalasta					
ilmalento		1	J		
ilmaliikenne					
ilmalämmitys					
ilmamaali		5			
ilmamassa					
ilman		99			
ilmanala					
ilmanhenki					
ilmankansi					
ilmankostutin					
ilmanohjain					
ilmanpaine					
ilmanpainekäyrä					
ilmanpitävä					
ilmanpitävästi		99			
ilmanpoisto					
ilmanpuhallin					
ilmanpuhdistin					
ilmanraikaste					
ilmansaaste					
ilmansuodatin					
ilmansuojelu					
ilmansuunta					
ilmanvaihto					
ilmanvaihtojärjestelmä					
ilmanvaihtokanava					
ilmanvastus					
ilmaontelo					
ilmapakoinen					
ilmapallo					
ilmapalloilla					
ilmapatja					
ilmaperspektiivi					
ilmapiiri					
ilmapistooli					
ilmapistooliammunta		9	J		
ilmapumppu					
ilmapuntari					
ilmapuolustus					
ilmapurjehdus					
ilmaputki					
ilmapyörre					
ilmarako					
ilmarata					
ilmarengas					
ilmarinta					
ilmarosvo					
ilmarosvous		39			
ilmasilta					
ilmasipuli					
ilmasodankäynti					
ilmasota					
ilmastaa		53			
ilmaste		48			
ilmastin		33			
ilmasto		2			
ilmastohoito					
ilmastoida		62			
-ilmastoinen		38			
ilmastointi		5	J		
ilmastointikanava					
ilmastointilaite					
ilmastointilaitteisto					
ilmastointiteippi					
ilmastollinen		38			
ilmastollisesti		99			
ilmastonvaihdos					
ilmasto-oppi					
ilmastotiede					
ilmastovyöhyke					
ilmastua		52			
ilmastus		39			
ilmastusallas					
ilmasulku					
ilmasuoja		10			
ilmasuojelu					
ilmata		73			
ilmataistelu					
ilmatankkaus		39			
ilmatasku					
ilmateitse					
ilmatiede					
ilmatiehyt					
ilmatieteellinen					
ilmatieteilijä					
ilmatiiviisti					
ilmatiivis					
ilmatila					
ilmatoiminta					
ilmaton		34	C		
ilmatorjunta					
ilmatorjunta-ase					
ilmatorjuntajoukot					
ilmatorjuntaohjus					
ilmatorjuntapatteri					
ilmatorjuntapatteristo					
ilmatorjuntatuli					
ilmatorjuntatykistö					
ilmatorjuntatykki		5	A		
ilmatorvi					
ilmatyhjiö					
ilmatyyny					
ilmatyynyalus					
ilmatähystys					
ilmatäytteinen					
ilmaus		39			
ilmava		10			
ilmavaara		9			
ilmavaivat					
ilmavalokuva					
ilmavalokuvaus					
ilmavalvonta					
ilmavasara					
ilmavasti		99			
ilmaverho					
ilmaverso					
ilmavirta					
ilmavirtaus					
ilmavoimat					
ilmavoitto					
ilmavuus		40			
ilme		48			
ilmeettömyys		40			
ilmeettömästi		99			
ilmeetön		34	C		
ilmehdintä		9	J		
ilmehtiä		61	F		
ilmeikkyys		40			
ilmeikkäästi		99			
ilmeikäs		41	A		
ilmeillä		67			
ilmeily		2			
ilmeinen	1	38			
ilmeinen	2	38			
ilmeisesti		99			
ilmeittää		53	C		
ilmelihas					
ilmenemismuoto					
ilmenemä		10			
ilmennys		39			
ilmentymä		10			
ilmentyä		52	J		
ilmentää		54	J		
ilmestymisaika		9	D		
ilmestymispäivä					
ilmestymisvuosi					
ilmestys		39			
ilmestyskirja					
ilmestyä		52			
ilmetty		1	C		
ilmetä		72			
ilmi		99			
ilmiantaa					
ilmiantaja					
ilmianto					
ilmiantovelvollisuus					
ilmiasu					
ilmielävä					
ilmielävästi					
ilmiliekki					
ilmiriita					
ilmiselvä					
ilmiselvästi					
ilmisota					
ilmitulo					
ilmituoda					
ilmiö		3			
ilmiömäinen		38			
ilmiömäisesti		99			
ilmiömäisyys		40			
ilmoinen		99			
ilmoitella		67	C		
ilmoitse		99			
ilmoittaa		53	C		
ilmoittaja		10			
ilmoittautua		52	F		
ilmoittautumisaika		9	D		
ilmoittautumislomake					
ilmoittelu		2			
ilmoittua		52	C		
ilmoitus		39			
ilmoitusasia					
ilmoitushinta					
ilmoituskaappi					
ilmoituslehti					
ilmoitusmenettely					
ilmoitusmyynti					
ilmoitusosasto					
ilmoituspalsta					
ilmoitussivu					
ilmoitustaulu					
ilmoitustulot					
ilmoitusvala					
ilmoitusväline					
ilo		1			
ilohuuto					
iloinen		38			
iloisesti		99			
iloissaan		99			
iloisuus		40			
iloita		69			
ilojuhla					
ilokaasu					
iloliemi					
ilolintu					
iloluontoinen					
ilomieli					
ilomielinen					
ilomielisyys					
ilonaihe					
ilonkyynel					
ilonpilaaja					
ilonpito					
ilonpitäjä					
ilonpurkaus					
ilopilleri					
ilosanoma					
ilostua		52			
ilostuttaa		53	C		
ilotalo					
ilotella		67	C		
iloton		34	C		
ilottelu		2			
ilottomasti		99			
ilottomuus		40			
ilotulite					
ilotulitus					
ilotulitusaine					
ilotulitusraketti					
ilotulitusväline					
ilotyttö					
ilouutinen					
ilta		9	I		
ilta-askare					
ilta-ateria					
ilta-aurinko					
iltahartaus					
iltahetki					
iltahuuto					
iltahuvi					
iltahämärä					
iltainen		38			
iltaisin		99			
iltaistunto					
iltajuhla					
iltajumalanpalvelus					
iltajuna					
iltakahvi					
iltakausi					
iltakello					
iltakilpailu					
iltakirkko					
iltakoulu					
iltakurssi					
iltakutsut					
iltakuusi		24			
iltakymmenen					
iltakävely					
iltalaukku					
iltalehti					
iltalinja					
iltaloma					
iltalukio					
iltalypsy					
iltama		10			
iltamessu					
iltamyöhä					
iltamyöhäinen					
iltanen		38			
iltanuotio					
iltanäytäntö					
iltaopetus					
iltaopiskelija					
iltaopiskelu					
iltapala					
iltapesu					
iltapimeä					
iltapuhde					
iltapuku					
iltapukuinen					
iltapuoli					
iltapäivä					
iltapäiväkahvi					
iltapäivälehti					
iltapäiväohjelma					
iltapäiväruuhka					
iltaravit					
iltarukous					
iltarusko					
iltasella		99			
iltataivas					
iltatee					
iltatilaisuus					
iltatoimi					
iltatori					
iltatorkku					
iltatyö					
iltatähti					
iltauninen					
iltauutiset					
iltavalaistus					
iltavapaa					
iltavirkku					
iltavoimistelu					
iltavuoro					
iltayö					
iltti		5	C		
ilve		48			
ilvehtiä		61	F		
ilveilijä		12			
ilveillä		67			
ilveily		2			
ilvekukka					
ilves		39			
imaami		5			
image		8			
imaginaariluku					
imaginaarinen		38			
imaginaariyksikkö					
imago		2			
imagonrakennus					
imagonrakentaja					
imaista		66			
imaisu		2			
imarre		48	K		
imarrella		67	K		
imartelu		2			
imbesilli		5			
imeksiä		61			
imelle		48	I		
imellys		39			
imellysaine					
imellyttää		53	C		
imeltyä		52	I		
imeltää		54	I		
imelyys		40			
imelä		10			
imelälimppu		50			
imelästi		99			
imelöittää		53	C		
imemisikä					
imeskellä		67			
imettäjä		10			
imettäväinen		38			
imettää		53	C		
imetys		39			
imetysaika		9	D		
imeväinen		38			
imeväisikä					
imeväisikäinen					
imeväiskuolleisuus					
imeyttää		53	C		
imeytys		39			
imeytyskenttä					
imeytyä		52	F		
imeä		58			
imikkä		14	A		
imitaatio		3			
imitaattori		6			
imitoida		62			
imitoija		10			
imitointi		5	J		
immateriaalinen		38			
immenkalvo					
immenkukka					
immunisaatio		3			
immunisoida		62			
immunisointi		5	J		
immunisoitua		52	F		
immuniteetti		5	C		
immunologia		12			
immunologinen		38			
immuuni		5			
immuunijärjestelmä					
immuunikato					
immuunistaa		53			
immuunistua		52			
immuunius		40			
immuunivaste					
immyt		43	H		
impata		73	B		
impedanssi		5			
imperatiivi		5			
imperfekti		5			
imperialismi		5			
imperialisti		5			
imperialistinen		38			
imperiumi		5			
impi		7	H		
impivaaralainen		38			
impivaaralaisuus		40			
implantaatio		3			
implantaatti		5	C		
implantoida		62			
implantti		5	C		
implikoida		62			
implisiittinen		38			
implisiittisesti		99			
implisiittisyys		40			
implisoida		62			
imponoida		62			
impotenssi		5			
impotentti		5	C		
imppaus		39			
impregnoida		62			
impregnointi		5	J		
impressaari		5			
impressaario		3			
impressionismi		5			
impressionisti		5			
impressionistinen		38			
improbatur		6			
impromptu		1			
improvisaatio		3			
improvisatorinen		38			
improvisoida		62			
improvisointi		5	J		
impulsiivinen		38			
impulsiivisesti		99			
impulsiivisuus		40			
impulssi		5			
impulssiosto					
imu		1			
imuke		48	A		
imukeräily					
imukudos					
imukuppi					
imukuppisynnytys					
imukärsä					
imuneste					
imupaperi					
imupilli					
imupumppu					
imurauhanen					
imuri		6			
imuroida		62			
imurointi		5	J		
imusolmuke					
imusolu					
imusuonentulehdus					
imusuoni					
imusuonipunos					
imusuonisto					
imutahti					
imuventtiili					
in		99			
inahdus		39			
inahtaa		53	F		
indefiniittinen		38			
indefiniittipronomini					
indeksi		5			
indeksiehto					
indeksikorotus					
indeksiluku					
indeksisidonnaisuus					
indeksoida		62			
indifferenssi		5			
indifferentti		5	C		
indigo		2			
indigonsininen					
indigosini		7			
indiisi		5			
indikaatio		3			
indikaattori		6			
indikatiivi		5			
indikoida		62			
indisio		3			
indisoida		62			
indium		5			
individi		5			
individuaalinen		38			
individuaalipsykologia					
individuaalistaa		53			
individualismi		5			
individualisoida		62			
individualisti		5			
individualistinen		38			
individualistisesti		99			
indoeurooppalainen					
indogermaaninen					
indoiranilainen		38			
indoktrinaatio		3			
indoktrinoida		62			
indoktrinointi		5	J		
induktanssi		5			
induktiivinen		38			
induktio		3			
induktiokela					
induktiolevy					
induktioliesi					
induktiouuni					
induktiovirta					
indusoida		62			
indusoitua		52	F		
industrialismi		5			
industrialistinen		38			
inertia		12			
inertiaohjaus					
inertti		5	C		
inessiivi		5			
infantiili		5			
infantiilius		40			
infantilismi		5			
infarkti		5			
infektio		3			
infektiotauti					
infektoida		62			
infektoitua		52	F		
infernaalinen		38			
infertiili		5			
infinitiivi		5			
inflaatio		3			
inflaatiokierre					
inflaatiopaine					
inflaatiotarkistus					
inflatorinen		38			
influenssa		9			
influenssaepidemia					
influenssapotilas					
influenssarokote					
influenssarokotus					
influenssavirus					
info		1			
infokratia		12			
informaatikko		4	A		
informaatio		3			
informaatiopalvelu					
informaatiosota					
informaatioteknologia					
informaatioteoria					
informaatiotilaisuus					
informaatioyhteiskunta					
informalismi		5			
informalisti		5			
informalistinen		38			
informatiikka		9	A		
informatiivinen		38			
informatorinen		38			
informoida		62			
informointi		5	J		
infrapuna-avain					
infrapunakytkin					
infrapunalukko					
infrapunasignaali					
infrapunasäteily					
infrastruktuuri					
infraääni					
infuusio		3			
ingressi		5			
inhalaatio		3			
inhalaattori		6			
inhaloida		62			
inhalointi		5	J		
inhibiittori		6			
inhibitio		3			
inhibitorinen		38			
inhiboida		62			
inhiboitua		52	F		
inhimillinen		38			
inhimillisesti		99			
inhimillistyä		52			
inhimillistää		53			
inhimillisyys		40			
inho		1			
inhorealismi					
inhota		74			
inhottaa		53	C		
inhottava		10			
inhottavasti		99			
inhottavuus		40			
inhotus		39			
ininä		12			
inistä		66			
initiaatio		3			
initiaatiomenot					
injektio		3			
injektioruisku					
injektoida		62			
inka		9			
inkakulttuuri					
inkarnaatio		3			
inkarnoitua		52	F		
inkerikko		4	A		
inkeriläinen		38			
inkeroinen		38			
inkivääri		5			
inkiväärijuoma					
inkiväärikasvi					
inkivääriolut					
inkkari		6			
inkognito		99			
inkongruenssi		5			
inkontinenssi		5			
inkubaatioaika		9	D		
inkubaattori		6			
inkvisiittori		6			
inkvisitio		3			
innoissaan		99			
innoite		48	C		
innoittaa		53	C		
innoittaja		10			
innoittua		52	C		
innoitus		39			
innokas		41	A		
innokkaasti		99			
innokkuus		40			
innostaa		53			
innostaja		10			
innostua		52			
innostuksissaan		99			
innostuneesti		99			
innostuneisuus		40			
innostunut		47			
innostus		39			
innostuttaa		53	C		
innota		74	J		
innoton		34	C		
innottomasti		99			
innottomuus		40			
innovaatio		3			
innovatiivinen		38			
innovatiivisuus		40			
innovoida		62			
innovointi		5	J		
input		5			
insatsi		5			
insertti		5	C		
insesti		5			
insidenssi		5			
insinööri		5			
insinööriajo					
insinööritaito					
insinööritoimisto					
insinööriupseeri					
inspehtori		6			
inspiraatio		3			
inspiroida		62			
inspiroitua		52	F		
inssi		5			
inssiajo					
installaatio		3			
installoida		62			
installointi		5	J		
instanssi		5			
institutionaalinen		38			
institutionaalistua		52			
institutionalisoitua		52	F		
instituutio		3			
instituutti		5	C		
instruktiivi		5			
instrumentaalimusiikki					
instrumentaalinen		38			
instrumentaatio		3			
instrumentalisti		5			
instrumentoida		62			
instrumentointi		5	J		
instrumentti		5	C		
insuffisienssi		5			
insuliini		5			
insuliinihoito					
insuliinihoitoinen					
insuliinipistos					
insuliiniruiske					
integraali		5			
integraalilaskenta					
integraatio		3			
integroida		62			
integrointi		5	J		
integroitua		52	F		
intellektuaalinen		38			
intellektualismi		5			
intellektualisti		5			
intellektualistinen		38			
intellektuelli		5			
intelligenssi		5			
intelligentsija		12			
intelligentti		5	C		
intendentti		5	C		
intendentuuri		5			
intensiivikurssi					
intensiivinen		38			
intensiiviopetus					
intensiivisesti		99			
intensiivisyys		40			
intensiteetti		5	C		
intentio		3			
interaktiivinen					
interaktiivisesti					
interaktiivisuus					
interferenssi		5			
interferoni		5			
interiööri		5			
interjektio		3			
intermezzo		1			
intermittoiva		10			
internaatti		5	C		
internationaali		5			
internationalismi		5			
internoida		62			
internointi		5	J		
interrailaaja		10			
interrailata		73			
interrailkortti					
interreilaaja		10			
interreilata		73			
interrogatiivinen		38			
interrogatiivipronomini					
intertekstuaalinen		38			
intertekstuaalisesti		99			
intertekstuaalisuus		40			
intervalli		5			
intervalliharjoittelu					
intervalliharjoitus					
interventio		3			
intiaani		5			
intiaaniheimo					
intiaanikanootti					
intiaanikesä					
intiaanikieli					
intiaanileikki					
intiaanipäähine					
intiaanipäällikkö					
intiaanireservaatti					
intiaaniriisi		5			
intiaanitanssi					
intiaaniteltta					
intialainen		38			
intiankobra					
intianpuuvilla		9			
intiimi		5			
intiimisti		99			
intiimiys		40			
intimiteetti		5	C		
intimiteettisuoja		10			
into		1	J		
intohimo					
intohimoinen		38			
intohimoisesti		99			
intohimoisuus		40			
intohimoton		34	C		
intohimottomasti		99			
intohimottomuus		40			
intoilija		12			
intoilla		67			
intoilu		2			
-intoinen		38			
intomieli					
intomielinen					
intomielisesti		99			
intomielisyys					
intonaatio		3			
intos		39			
intoutua		52	F		
intransitiivinen		38			
intransitiiviverbi					
intresantti		5	C		
intressi		5			
intressipiiri					
intressiryhmä					
intrigi		5			
intrigoida		62			
intrigointi		5	J		
intro		1			
introduktio		3			
introspektio		3			
introvertti		5	C		
intti		5	C		
inttää		53	C		
intuitiivinen		38			
intuitiivisesti		99			
intuitiivisuus		40			
intuitio		3			
inuiitti		5	C		
inuitti		5	C		
inva-					
invaasio		3			
invalidi		5			
invalidihissi					
invalidihuolto					
invalidikäymälä					
invalidimoottoripyörä					
invalidimopo					
invalidipaikka					
invalidisoida		62			
invalidisoitua		52	F		
invaliditaksi					
invaliditeetti		5	C		
invalidius		40			
invalidoida		62			
invalidoitua		52	F		
invarianssi		5			
invariantti		5	C		
invataksi					
inventaari		5			
inventaario		3			
inventoida		62			
inventointi		5	J		
inverttisokeri					
investoida		62			
investointi		5	J		
investointipankki					
investointirahasto					
investointitalletus					
investointivaraus					
ioni		5			
ionisaatio		3			
ionisaattori		6			
ionisoida		62			
ionisointi		5	J		
ionisoitua		52	F		
ionosfääri		5			
I-palkki					
ipana		13			
iridium		5			
irkata		73	A		
irlanninsetteri					
irlanninsusikoira					
irlanninterrieri					
irlantilainen		38			
irokeesi		5			
irokeesikampaus					
ironia		12			
ironikko		4	A		
ironinen		38			
ironisesti		99			
ironisoida		62			
ironisuus		40			
irrallaan		99			
irralleen		99			
irrallinen		38			
irrallisesti		99			
irrallisuus		40			
irrationaali		5			
irrationaaliluku					
irrationaalinen		38			
irrationaalisesti		99			
irrationaalisuus		40			
irreaalinen		38			
irreaalisuus		40			
irrelevantti		5	C		
irrokepaperi					
irrota		74	K		
irrotella		67	C		
irrottaa		53	C		
irrottautua		52	F		
irrottua		52	C		
irrotus		39			
irstaasti		99			
irstailija		12			
irstailla		67			
irstailu		2			
irstainen		38			
irstas		41			
irstaus		40			
irtaantua		52	J		
irtaimisto		1			
irtaimistohuutokauppa					
irtaimistokiinnitys					
irtain		33			
irtauma		10			
irtautua		52	F		
irtautuma		10			
irtautumisnopeus					
irti		99			
irtikytkentä					
irtiotto					
irtipääsy					
irtisanoa					
irtisanomisaika		9	D		
irtisanomisoikeus					
irtisanomissuoja		10			
irtisanoutua					
irto-					
irtohiukset					
irtohousut					
irtokaramelli					
irtokaulus					
irtolainen		38			
irtolasti					
irtolastialus					
irtolehti					
irtolehtipainos					
irtoletti					
irtoliite					
irtolisäke					
irtolohkare					
irtolukko					
irtolumi					
irtomaa					
irtomyynti					
irtonainen		38			
irtonaisesti		99			
irtonaisuus		40			
irtonenä					
irtonumero					
irtopalmikko					
irtoparta					
irtopinna					
irtopiste					
irtopuuteri					
irtopäällinen					
irtoripset					
irtosolunäyte					
irtosolututkimus					
irtotakki					
irtotavara					
irtotiheys					
irtotilavuus					
irtotukka					
irtouitto					
irtovuori		5			
irvailla		67			
irvailu		2			
irveen		99			
irvessä		99			
irvihammas					
irviin		99			
irvikuva					
irvileuka					
irvileukainen					
irvissä		99			
irvistelijä		12			
irvistellä		67			
irvistely		2			
irvistys		39			
irvistyttää		53	C		
irvistää		53			
irviä		61			
irvokas		41	A		
irvokkaasti		99			
irvokkuus		40			
isi		5			
iskelmä		10			
iskelmälaulaja					
iskelmälyriikka					
iskelmämusiikki					
iskelmäsovitus					
iskelmäteksti					
iskemä		10			
iskentä		9	J		
iskettää		53	C		
iskevyys		40			
iskevä		10			
iskevästi		99			
iskeytyä		52	F		
iskeä		58			
iskias		39			
iskiashermo					
iskijä		12			
iskostaa		53			
iskostua		52			
isku		1			
iskuala					
iskuhaava		9			
-iskuinen		38			
iskujoukko					
iskukoukku					
iskukuumennus					
iskukuumentaa					
iskukyky					
iskukykyinen					
iskulause					
iskullinen		38			
iskulyönti					
iskunkestävyys					
iskunkestävä					
iskunpituus					
iskunvaimennin					
iskuporakone					
iskupää					
iskurepliikki					
iskuri		6			
iskuryhmä					
iskusana					
iskusarja					
iskusitkeys					
iskusävel					
iskuteho					
iskutilavuus					
iskuttaa		53	C		
iskuvalmis					
iskuvalmius					
iskuvoima					
iskuvoimainen					
iskä		9			
islam		5			
islamilainen		38			
islamilaisuus		40			
islaminusko					
islaminuskoinen					
islamismi		5			
islamisti		5			
islamistinen		38			
islanninjäkälä					
islannin kieli					
islanninkielinen					
islanti		5	J		
islantilainen		38			
ismi		5			
iso	1	1			
iso	2	1			
iso-	1				
iso-	2				
isobaari		5			
isohirvenjäkälä		50			
isoinen		38			
isoisä		50			
isojako		51			
isojako		50			
isokasvuinen					
isokenkäinen					
isokokoinen					
isokoskelo		50			
isokoskelo		51			
isokukkainen					
isokuovi		50			
isokuovi		51			
isokuvioinen					
isokäpylintu		50			
isokäpylintu		51			
isolaatio		3			
isolehtinen					
isolepinkäinen		50			
isolepinkäinen		51			
isoleukainen					
isoloida		62			
isolointi		5	J		
isoloitua		52	F		
isolokki		50			
isolokki		51			
isomahainen					
isomaksaruoho		50			
isomaksaruoho		51			
isomasto		51			
isomasto		50			
isometrinen		38			
isomorfia		12			
isontaa		54	J		
isontua		52	J		
isopanda		50			
isopanda		51			
isopistooli		51			
isopistooli		50			
isopistooliammunta		9	J		
isopurje		51			
isopurje		50			
isorakeinen					
isorokko		51			
isorokko		50			
isorokkorokotus					
isorumpu		50			
isorumpu		51			
isoruutuinen					
isosetä		50			
isosisar		51			
isosisar		50			
isosisko		51			
isosisko		50			
isosti		99			
isosuinen					
isota	1	72			
isota	2	74			
isotaivot		51			
isotella		67	C		
isotermi		5			
isotooppi		5	B		
isotooppikartoitus					
isotooppikello					
isottelu		2			
isotäti		50			
isotöinen					
isous		40			
isovanhemmat		50			
isovarvas		51			
isovarvas		50			
isoveli		51			
isoveli		50			
isoviha		51			
isoviha		50			
isoympyrä		50			
isoäiti		50			
israelilainen		38			
issikka	1	14	A		
issikka	2	14	A		
istahtaa		53	F		
istua		52			
istualla		99			
istuallaan		99			
istualle		99			
istualleen		99			
istualta		99			
istualtaan		99			
istuin		33			
istuin-					
istuinkaukalo					
istuinkyhmy					
istuinlaatikko					
istuinlauta					
istuinluu					
istuinosa					
istuinpaikka					
istuinpenkki					
istuinrivi					
istuintyyny					
istujaiset					
istukallinen		38			
istukas		41	A		
istukassipuli					
istukka		14	A		
istuksia		61			
istuma		99			
istuma-alusta					
istuma-amme					
istuma-asento					
istuma-aukko					
istumajalka					
istumakylpy					
istumalakko					
istumalentopallo					
istumalihas					
istumalla		99			
istumalta		99			
istumapaikka					
istumatyö					
istunta		9	J		
istunto		1	J		
istuntokausi					
istuntosali					
istuskella		67			
istuskelu		1			
istute		48	C		
istuttaa		53	C		
istutus		39			
istutusaika		9	D		
istutuskone					
istutuskuoppa					
istutuskuusikko		4	A		
istutuslapio					
istutussyvyys					
istutusväli					
istuutua		52	F		
istuvilla		99			
istuvillaan		99			
istuville		99			
istuvilleen		99			
istuvilta		99			
istuviltaan		99			
istuvuus		40			
isukki		5	A		
isyys		40			
isyysloma					
isyyspakkaus					
isyysraha					
isyystutkimus					
isä		10			
isähahmo					
isällinen		38			
isällisesti		99			
isämeidän		99			
isämeidänrukous					
isämeitä		99			
isänisä					
isänkoti					
isänmaa					
isänmaallinen					
isänmaallisesti		99			
isänmaallisuus					
isänmaanrakkaus					
isänmaaton					
isännistö		1			
isännyys		40			
isännänviiri					
isännätön		34	C		
isännöidä		68			
isännöitsijä		12			
isännöitsijäntodistus					
isännöitsijätoimisto					
isänperintö					
isänpuoleinen					
isänpäivä					
isänrakkaus					
isäntä		10	J		
isäntäeliö					
isäntäeläin					
isäntäjoukkue					
isäntäkasvi					
isäntämaa					
isäntämies					
isäntäperhe					
isäntärenki					
isäntäseura					
isäntäväki					
isänäiti					
isäpappa					
isäpuoli					
isätön		34	C		
isäukko					
isävainaja					
IT		99			
italia		12			
italiaano		1			
italialainen		38			
italianisti		5			
italian kieli					
italiankielinen					
italiankumina		12			
italiansalaatti					
italianvinttikoira					
italowestern					
itara		11			
itarasti		99			
itaruus		40			
I-teräs					
itikka		14	A		
itiö		3			
itiöeläin					
itiöemä					
itiökasvi					
itiöpesäke					
itiöpolvi					
itiöpöly					
itkeskellä		67			
itkeskely		2			
itkettynyt		47			
itkettää		53	C		
itkeä		58			
itkijä		12			
itkijänainen					
itku		1			
itkuinen		38			
itkukohtaus					
itkumuuri					
itkunpuuska					
itkunsekainen					
itkupilli					
itkusilmin		99			
itkuvirsi					
itsari		6			
itse		8			
itsearvostus					
itsehallinnollinen					
itsehallinto					
itsehallintoalue					
itsehallinto-oikeus					
itsehalveksinta					
itsehalveksunta					
itsehavainnointi					
itsehedelmöitys					
itsehillintä					
itsehoito					
itsehoitolääke					
itseihailu					
itseilmaisu					
itseinduktio					
itseinho					
itseironia					
itseisarvo					
itseiva					
itsejäljentävä		10			
itsekannattava		10			
itsekantava		10			
itsekasvatus					
itsekehu					
itsekeskeinen					
itsekeskeisesti					
itsekeskeisyys					
itsekidutus					
itsekiillottuva		10			
itsekiinnittyvä		10			
itsekkyys		40			
itsekkäästi		99			
itsekontrolli					
itsekorostus					
itsekriittinen					
itsekritiikki					
itsekseen		99			
itse kukin		99			
itsekunnioitus					
itsekuri					
itsekäs		41	A		
itselaukaisin					
itseliimautuva		10			
itsellinen		38			
itseluottamus					
itsemurha					
itsemurhaaja					
itsemurhaisku					
itsemurhakandidaatti					
itsemurhalentäjä					
itsemurhaterrorismi					
itsemurhaterroristi					
itsemurhayritys					
itsemääräämisoikeus					
itseneuvova		10			
itsensäpaljastaja					
itsensäpaljastaminen		38			
itsenäinen		38			
itsenäisesti		99			
itsenäistyttää		53	C		
itsenäistyä		52			
itsenäistää		53			
itsenäisyys		40			
itsenäisyysjuhla					
itsenäisyysjulistus					
itsenäisyysliike					
itsenäisyyspolitiikka					
itsenäisyyspäivä					
itsenäisyystaistelu					
itseohjaava		10			
itseohjautuva		10			
itseoikaisu					
itseoikeutettu					
itseopiskelija					
itseopiskelu					
itseoppinut					
itsepalvelu					
itsepalveluhuoltamo					
itsepalvelukahvila					
itsepalvelumyymälä					
itsepalvelupesula					
itsepalveluravintola					
itsepalvelutankkaus		39			
itsepalvelutavaratalo					
itsepetos					
itsepintainen					
itsepintaisesti		99			
itsepintaisuus					
itsepoiminta					
itsepuolustus					
itsepäinen					
itsepäisesti		99			
itsepäisyys		40			
itsepölytteinen					
itsepölytys					
itserahoitus					
itserakas					
itserakkaasti		99			
itserakkaus					
itseriittoinen		38			
itseriittoisesti		99			
itseriittoisuus					
itseruoskinta					
itsesensuuri					
itsesiitos					
itsesiittoinen					
itsesiliävä		10			
itsesoimaus					
itsessään		99			
itsestään		99			
itsestäänselvyys					
itsesuggestio					
itsesuojelu					
itsesuojeluvaisto					
itsesyttyminen		38			
itsesytyntä		9	J		
itsesyytös					
itsesäilytys					
itsesäilytysvaisto					
itsesäilytysvietti					
itsesääli					
itsesäätely					
itsesäätyvä		10			
itsesäätöinen					
itsetarkkailu					
itsetarkoitus					
itsetehostus					
itsetiedoton					
itsetietoinen					
itsetietoisesti					
itsetietoisuus					
itsetilitys					
itsetoimiva					
itsetuho					
itsetuhoinen		38			
itsetuhokäyttäytyminen					
itsetuntemus					
itsetunto					
itsetutkistelu					
itsetypistys		39			
itsetyydytys					
itsetyytyväinen					
itsetyytyväisesti					
itsetyytyväisyys					
itsevalaiseva		10			
itsevalta					
itsevaltainen					
itsevaltaisesti		99			
itsevaltaisuus					
itsevaltiaasti		99			
itsevaltias					
itsevaltius		40			
itsevarma					
itsevarmasti					
itsevarmuus					
itsevoiteleva		10			
itu		1	F		
itujyvänen					
iturata					
itusalaatti					
itusilmu					
itä		10	F		
itäaasialainen					
itäafrikkalainen					
