word	homonym	type	gradation	type_note	grad_note
aggressiivisuus		40			
aggressio		3			
agitaatio		3			
agitaattori		6			
agitatorinen		38			
agitoida		62			
agitointi		5	J		
agnostikko		4	A		
agnostinen		38			
agnostisesti		99			
agnostisismi		5			
agnostisuus		40			
agorafobia		12			
agraarinen		38			
agraaripolitiikka					
agraaripuolue					
agraarisuus		40			
agraarivaltio					
agrologi		5			
agronomi		5			
agronomia		12			
ah		99			
ahaa		99			
ahaa-elämys					
ahava		11			
ahavoittaa		53	C		
ahavoitua		52	F		
ahdas		41	F		
ahdashenkinen					
ahdashenkisesti					
ahdashenkisyys					
ahdaskatseinen					
ahdasmielinen					
ahdasmielisesti		99			
ahdasmielisyys					
ahdasnäköinen					
ahdasnäköisesti		99			
ahdasnäköisyys					
ahdasrajainen					
ahdasrajaisesti		99			
ahdasrajaisuus		40			
ahdata		73	F		
ahde		48	F		
ahdekaunokki					
ahdelauha		9			
ahdin		33	F		
ahdinko		1	G		
ahdinkotila					
ahdistaa		53			
ahdistaja		10			
ahdistelija		12			
ahdistella		67			
ahdistelu		2			
ahdistua		52			
ahdistuneesti		99			
ahdistuneisuus		40			
ahdistuneisuushäiriö					
ahdistunut		47			
ahdistus		39			
ahdistusneuroosi					
ahdistustila					
aherrus		39			
ahertaa		54	K		
ahertaja		10			
ahjo		1			
ahkera		10			
ahkeraan		99			
ahkeraliisa		9			
ahkeraliisa		50			
ahkerasti		99			
ahkeroida		68			
ahkerointi		5	J		
ahkeruus		40			
ahkio		3			
ahma		9			
ahmaista		66			
ahmaisu		2			
ahmatti		5	C		
ahmia		61			
ahmimishäiriö					
ahminta		9	J		
ahnaasti		99			
ahnas		41			
ahnaus		40			
ahne		48			
ahneesti		99			
ahnehdinta		9	J		
ahnehtia		61	F		
ahnehtija		12			
ahneus		40			
aho		1			
ahomansikka					
ahoniitty					
ahrain		33			
ahtaa		56	F		
ahtaaja		10			
ahtaalla		99			
ahtaalle		99			
ahtaasti		99			
ahtauma		10			
ahtaus	1	40			
ahtaus	2	39			
ahtausliike					
ahtaustyö					
ahtauttaa	1	53	C		
ahtauttaa	2	53	C		
ahtautua		52	F		
ahtautuma		10			
ahteri		6			
Ahti		5	F		
ahti		5	F		
ahtisaarna					
ahtoilma					
ahtojää					
ahtopaine					
ahtoutua		52	F		
ahven		32			
ahvenheinä					
ahvenruoho					
ahvenvita					
ai		99			
aidanne		48	J		
aidanrako					
aidanseiväs					
aidanvieri					
aidas		39			
aidaskääpä					
aidata		73	F		
aidoittaa		53	C		
aidosti		99			
AIDS		5			
AIDS-potilas					
aie		48	D		
aiemmin		99			
aiempi		16	H		
aiennus		39			
aientaa		54	J		
aiepöytäkirja					
aiesopimus					
aihe		48			
aiheellinen		38			
aiheellisesti		99			
aiheellistaa		53			
aiheellistua		52			
aiheellisuus		40			
aiheenmukainen					
aiheenvalinta					
aiheeton		34	C		
aiheettomasti		99			
aiheettomuus		40			
-aiheinen		38			
aihelma		10			
aihepiiri					
aihetodiste					
aiheuttaa		53	C		
aiheuttaja		10			
aiheutua		52	F		
aiheutus		39			
aihio		3			
aijai		99			
aika	1	9	D		
aika	2	99			
aika-ajo					
aikaansaada					
aikaansaamaton					
aikaansaamattomuus					
aikaansaannos		39			
aikaansaanti					
aikaansaapa		10	E		
aikaansaava		10			
aika-arvo					
aikaero					
aikaerorasitus					
aikaihminen					
aikailla		67			
aikailu		2			
aikainen		38			
aikaisemmin		99			
aikaisin		99			
aikaisintaan		99			
aikaistaa		53			
aikaistua		52			
aikaistus		39			
aikaisuus		40			
aikajakso					
aikajärjestys					
aikakauppa					
aikakausi					
aikakausjulkaisu					
aikakauskirja					
aikakauslehdistö					
aikakauslehti					
aikakirja					
aikakone					
aikakysymys					
aikakytkin					
aikalainen		38			
aikalaukaisin					
aikalisä					
aikalukko					
aikaluokka					
aikamatka					
aikamatkailu					
aikamatkustus					
aikamerkki					
aikamies					
aikamiespoika					
aikamiina					
aikamitta					
aikamoinen		38			
aikamuoto					
aikamäärä					
aikanaan		99			
aikansa		99			
aikapalkka					
aikapalkkainen					
aikapalkkaus					
aikapeli					
aikapommi					
aikapula					
aikarahtaus					
aikarajoitus					
aikasytytin					
aikasytytteinen					
aikasytytyksinen					
aikasytytys					
aikataulu					
aikatauluttaa		53	C		
aikatiedotus					
aikaurakka					
aikauttaa		53	C		
aikautus		39			
aikavalotus					
aikavaraus					
aikaveloitus					
aikavyöhyke					
aikaväli					
aikayksikkö					
aikido		2			
aikoa		52	D		
aikoinaan		99			
aikojaan		99			
aikomus		39			
aikuinen		38			
aikuisikä					
aikuiskaste					
aikuiskasvatus					
aikuiskoulutus					
aikuisopetus					
aikuisopiskelija					
aikuistua		52			
aikuisuus		40			
ailahdella		67	F		
ailahdus		39			
ailahtaa		53	F		
ailahtelu		2			
ailakki		5	A		
aimo		99			
aina	1	99			
aina	2	9			
ainainen		38			
ainaiseksi		99			
ainaisjäsen					
ainaisvakuutus					
ainakaan		99			
ainakin		99			
ainavihanta					
aine		48			
aineellinen		38			
aineellistaa		53			
aineellistua		52			
aineellistuma		10			
aineellisuus		40			
aineenkirjoittaja					
aineenkoetus					
aineenopettaja					
aineenvaihdunta					
aineenvaihduntahäiriö					
aineeton		34	C		
aineettomuus		40			
ainehiukkanen					
-aineinen		38			
aineistaa		53			
aineisto		2			
aineistokoe					
aineistua		52			
aineistuma		10			
ainejakoinen					
ainejärjestö					
ainekirjoitus					
ainekoostumus					
aineksenkeruu					
-aineksinen		38			
aineluokka					
aineluokkajärjestelmä					
ainemäärä					
aineopinnot					
aineosa					
aines		39			
ainesana					
aineseos					
aineskokoelma					
ainesosa					
ainespuu					
aineyhdistelmä					
ainiaaksi		99			
ainiaan		99			
ainiaksi		99			
ainian		99			
aino		1			
ainoa		15			
ainoalaatuinen					
ainoalaatuisuus					
ainoastaan		99			
ainoiskappale					
ainokainen		38			
ainu		1			
ainut		99			
ainutkertainen					
ainutkertaisuus		40			
ainutlaatuinen					
ainutlaatuisuus					
aioli		6			
airedalenterrieri					
airo		1			
aironlapa					
aironveto		1	F		
airopari		5			
airut		43			
aisa		9			
aisakello					
aisankannattaja					
aisapari		5			
aisata		73			
aisaus		39			
aisti		5			
aistia		61			
aistienvarainen					
aistiharha					
aistihavainto					
aistikas		41	A		
aistikkaasti		99			
aistikkuus		40			
aistillinen		38			
aistillisesti		99			
aistillisuus		40			
aistimaailma					
aistimus		39			
aistin		33			
aistinelin					
-aistinen		38			
aistinsolu					
aistivaikutelma					
aistivammainen					
aita		9	F		
aitajuoksija					
aitajuoksu					
aitapensas					
aitaus		39			
aitio		3			
aitiopaikka					
aito		1	F		
aito		99		mahdollinen	
aitoa		52	F		
aitoamaryllis		50			
aitoperäinen					
aitosuomalainen		50			
aitosuomalaisuus		50			
aitosyöpä		50			
aitotumallinen		50			
aitous		40			
aitovieri		26			
aitta		9	C		
aituri		6			
aivan		99			
aivastaa		53			
aivastella		67			
aivastus		39			
aivastuttaa		53	C		
aivina		13			
aivipisto					
aivo		1			
aivoaine					
aivofilmi					
aivohalvaus					
aivohermo					
aivoinvalidi					
aivoitus		39			
aivojenpesu					
aivokalvo					
aivokalvontulehdus					
aivokammio					
aivokapasiteetti					
aivokasvain					
aivokirurgi					
aivokuolema					
aivokuollut					
aivokuori		26			
aivokurkiainen		38			
aivokuume					
aivokuva					
aivokuvaus					
aivokäyrä					
aivoleikkaus					
aivolisäke					
aivopaine					
aivopestä					
aivopesu					
aivopuolisko					
aivoriihi					
aivorunko					
aivosairaus					
aivo-selkäydinneste					
aivosolu					
aivosto		2			
aivosyntyinen					
aivosähkökäyrä					
aivot		1			
aivotoiminta					
aivotrusti					
aivotulehdus					
aivotyö					
aivotärähdys					
aivovamma					
aivovammainen					
aivovaurio					
aivovauriolapsi					
aivoverenkierto					
aivoverenvuoto					
aivoveritulppa					
aivovienti					
aivovoimistelu					
aivovuoto					
ajaa		56			
ajaantua		52	J		
ajaja		10			
ajallaan		99			
ajallinen		38			
ajallisesti		99			
ajallisuus		40			
ajanhaaskaus					
ajanhukka					
ajanjako					
ajanjakso					
ajankohta		10	F		
ajankohtainen					
ajankohtaisohjelma					
ajankohtaistaa		53			
ajankohtaistua		52			
ajankohtaisuus					
ajankulu					
ajankuluke		48	A		
ajankuva					
ajankuvaus					
ajanlasku					
ajan mittaan		99			
ajanmittaus					
ajanmukainen					
ajanmukaisesti					
ajanmukaistaa		53			
ajanmukaistua		52			
ajanmukaisuus		40			
ajanmääritys					
ajanottaja					
ajanotto					
ajanpuute					
ajansäästö					
ajantasainen					
ajantasaistaa		53			
ajantasaistus		39			
ajantasaisuus		40			
ajantasajärjestelmä					
ajantasakäsittely					
ajantilaus					
ajantuhlaus					
ajanvaraus					
ajanviete		48	C		
ajanvieteautomaatti					
ajanvietekirja					
ajanvietelehti					
ajanvieteohjelma					
ajanvietepeli					
ajanvietteellinen		38			
ajanvietto					
ajassa		99			
ajassaan		99			
ajastaa		53			
ajastaika		9	D		
ajastin		33			
